C,T,M,Nome,Squadra,Quotazione iniziale
P,P,M;C,EKDAL,Sam,10
P,P,M;C,STROOTMAN,Gen,10
P,P,E;W,LAZOVIC,Ver,10
P,P,Ds;E,ZEEGELAAR,Udi,10
P,P,Dd;E,FARAONI,Ver,10
P,P,Dd;E,ZAPPA,Cag,10
P,P,Dd;Dc,TOMIYASU,Bol,10
P,P,Dd;Dc,MILENKOVIC,Fio,10
P,P,Dc,KJAER,Mil,10
P,P,Dc,KOULIBALY,Nap,10
P,P,Dc,MANOLAS,Nap,10
P,P,C;T,KURTIC,Par,10
P,P,C;T,ILIC,Ver,10
P,P,C,BENTANCUR,Juv,10
P,P,C,VIDAL,Int,10
P,P,A,KOKORIN,Fio,10
P,P,T,GOJAK,Tor,9
P,P,Por,SKORUPSKI,Bol,9
P,P,Por,PAU LOPEZ,Rom,9
P,P,Por,PROVEDEL,Spe,9
P,P,Pc,PICCOLI,Spe,9
P,P,Pc,GAICH,Ben,9
P,P,M;C,TAMEZE,Ver,9
P,P,Ds;E,ANSALDI,Tor,9
P,P,Ds;Dc,SAMIR,Udi,9
P,P,Dd;E,ZAPPACOSTA,Gen,9
P,P,Dd;Dc;E,D'AMBROSIO,Int,9
P,P,Dc,GOLEMIC,Cro,9
P,P,Dc,PEZZELLA GER.,Fio,9
P,P,Dc,DE LIGT,Juv,9
P,P,C;W;T,BONAVENTURA,Fio,9
P,P,C;T,RUIZ,Nap,9
P,P,C,MARIN,Cag,9
P,P,C,ARTHUR,Juv,9
P,P,A,MAN,Par,9
P,P,W;T;A,VERDI,Tor,8
P,P,W;T,RAMIREZ,Sam,8
P,P,W;A,SKOV OLSEN,Bol,8
P,P,W;A,CARLES PEREZ,Rom,8
P,P,W;A,HAUGE,Mil,8
P,P,W,CASTILLEJO,Mil,8
P,P,T,ERIKSEN,Int,8
P,P,T,ZANIOLO,Rom,8
P,P,Por,CRAGNO,Cag,8
P,P,Por,MIRANTE,Rom,8
P,P,Pc,NESTOROVSKI,Udi,8
P,P,Pc,RIVIERE,Cro,8
P,P,M;C,RICCI M.,Spe,8
P,P,M;C,MEITE',Mil,8
P,P,M,BAKAYOKO,Nap,8
P,P,E,MARUSIC,Laz,8
P,P,Ds;E,MARIO RUI,Nap,8
P,P,Ds;E,AUGELLO,Sam,8
P,P,Ds;E,BASTONI S.,Spe,8
P,P,Ds;Dc;E,KOLAROV,Int,8
P,P,Dd;Dc;E,MULDUR,Sas,8
P,P,Dc,DJIMSITI,Ata,8
P,P,Dc,PALOMINO,Ata,8
P,P,Dc,BASTONI,Int,8
P,P,Dc,IBANEZ,Rom,8
P,P,Dc,FERRARI G.,Sas,8
P,P,Dc,TOMORI,Mil,8
P,P,C;T,PASALIC,Ata,8
P,P,C;T,ARSLAN,Udi,8
P,P,C,ZANELLATO,Cro,8
P,P,A,COLLEY E.,Ver,8
P,P,A,PANDEV,Gen,8
P,P,A,KARAMOH,Par,8
P,P,A,VERDE,Spe,8
P,P,W;T,LOPEZ M.,Sas,7
P,P,W;A,PERISIC,Int,7
P,P,T,ZAJC,Gen,7
P,P,Por,STRAKOSHA,Laz,7
P,P,Por,MERET,Nap,7
P,P,Pc,PAVOLETTI,Cag,7
P,P,Pc,FAVILLI,Ver,7
P,P,Pc,LASAGNA,Ver,7
P,P,M;C,HETEMAJ,Ben,7
P,P,M;C,SCHIATTARELLA,Ben,7
P,P,M;C,AMRABAT,Fio,7
P,P,M,BEHRAMI,Gen,7
P,P,M,RADOVANOVIC,Gen,7
P,P,M,RINCON,Tor,7
P,P,M,WALACE,Udi,7
P,P,Ds;E,CZYBORRA,Gen,7
P,P,Ds;E,PEZZELLA GIU.,Par,7
P,P,Ds;Dc,CALDIROLA,Ben,7
P,P,Ds;Dc,GAGLIOLO,Par,7
P,P,Dd;E,GHIGLIONE,Gen,7
P,P,Dd;E,PEREIRA P.,Cro,7
P,P,Dc,CHABOT,Spe,7
P,P,Dc,COLLEY,Sam,7
P,P,Dc,NUYTINCK,Udi,7
P,P,Dc,DAWIDOWICZ,Ver,7
P,P,Dc,KUMBULLA,Rom,7
P,P,Dc,BONIFAZI,Udi,7
P,P,Dc,SMALLING,Rom,7
P,P,C;T,AGUDELO,Spe,7
P,P,C;T,VULIC,Cro,7
P,P,C,VILLAR,Rom,7
P,P,A,KOUAME',Fio,7
P,P,A,IAGO FALQUE,Ben,7
P,P,A,FORESTIERI,Udi,7
P,P,W;A,IMPROTA,Ben,6
P,P,W;A,DEULOFEU,Udi,6
P,P,T,KOVALENKO,Ata,6
P,P,Por,SIRIGU,Tor,6
P,P,Pc,GALABINOV,Spe,6
P,P,Pc,KALINIC,Ver,6
P,P,Pc,ZIRKZEE,Par,6
P,P,M;C,ROG,Cag,6
P,P,M;C,BADELJ,Gen,6
P,P,M;C,CRISTANTE,Rom,6
P,P,M,MEDEL,Bol,6
P,P,Ds;E,RECA,Cro,6
P,P,Ds;E,LYKOGIANNIS,Cag,6
P,P,Ds;E,ALEX SANDRO,Juv,6
P,P,Ds;Dc,RADU,Laz,6
P,P,Ds;Dc,MARCHIZZA,Spe,6
P,P,Dd;E,DI LORENZO,Nap,6
P,P,Dd;E,BRUNO PERES,Rom,6
P,P,Dd;E,MAEHLE,Ata,6
P,P,Dd;Ds;E,YOUNG,Int,6
P,P,Dd;Dc;E,STRYGER LARSEN,Udi,6
P,P,Dc,GODIN,Cag,6
P,P,Dc,DEMIRAL,Juv,6
P,P,Dc,RUGANI,Cag,6
P,P,C,VIOLA,Ben,6
P,P,C,DOMINGUEZ,Bol,6
P,P,C,MAGGIORE,Spe,6
P,P,C,LINETTY,Tor,6
P,P,C,ADRIEN SILVA,Sam,6
P,P,W;T,BERNARDESCHI,Juv,5
P,P,W,CALLEJON,Fio,5
P,P,Por,SPORTIELLO,Ata,5
P,P,Por,BUFFON,Juv,5
P,P,Por,SEPE,Par,5
P,P,Pc,RASPADORI,Sas,5
P,P,Pc,MURIQI,Laz,5
P,P,M;C,POLI,Bol,5
P,P,M;C,SCHOUTEN,Bol,5
P,P,M;C,PULGAR,Fio,5
P,P,M;C,STURARO,Ver,5
P,P,M;C,BRUGMAN,Par,5
P,P,M;C,BOURABIA,Sas,5
P,P,M;C,MANDRAGORA,Tor,5
P,P,M;C,EDUARDO HENRIQUE,Cro,5
P,P,M;C,AKPA AKPRO,Laz,5
P,P,Ds;E,ASAMOAH,Cag,5
P,P,Ds;E,ROGERIO,Sas,5
P,P,Ds;E,OUWEJAN,Udi,5
P,P,Ds;Dc,BARBA,Ben,5
P,P,Dd;E,BERESZYNSKI,Sam,5
P,P,Dd;E,DE SILVESTRI,Bol,5
P,P,Dd;Ds;E,HYSAJ,Nap,5
P,P,Dd;Ds;Dc,CACERES,Fio,5
P,P,Dd;Dc,MASIELLO,Gen,5
P,P,Dd;Dc,CHIRICHES,Sas,5
P,P,Dc,DANILO LAR.,Bol,5
P,P,Dc,CHIELLINI,Juv,5
P,P,Dc,LUIZ FELIPE,Laz,5
P,P,Dc,MAGNANI,Ver,5
P,P,Dc,RODRIGO BECAO,Udi,5
P,P,Dc,GUNTER,Ver,5
P,P,Dc,LOVATO,Ver,5
P,P,Dc,SOUMAORO,Bol,5
P,P,Dc,ONGUENE',Gen,5
P,P,C;T,ESTEVEZ,Spe,5
P,P,C,AGOUME,Spe,5
P,P,C,SENSI,Int,5
P,P,W;A,BRAAF,Udi,4
P,P,Por,DA COSTA,Bol,4
P,P,Por,CORDAZ,Cro,4
P,P,Pc,LLORENTE,Udi,4
P,P,Pc,CORNELIUS,Par,4
P,P,Pc,INGLESE,Par,4
P,P,Pc,GABBIADINI,Sam,4
